Call Number,Digital Image,Link to Fedora,Title,Publisher / Printer,Year(s),Notes,Number of Sheets,Type of Map,Location,lat.top,lat.bot,long.left,long.right
MD 024,md024d.jpg,,"A Horse Map of Maryland, Showing all Phases of Horse Activity",Maryland Horse Breeder's Association,1941,,1,Thematic Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD/VA 034,md.va034.jpg,,A Manuscript Map of Maryland.,"Blathwayt, William.",1677 (circa),Facsimile published by the John Carter Brown Library in 1978.,1,Historical maps,Maryland and Virginia,39° 43′ N,36° 32′ N,83° 41′ W,75° 03' W 
MD/VA 029,mdva29d.jpg,,"A New Map of New England, New York, New Jersey, Pennsylvania, Maryland and Virginia","Morden, Robert",1685,,1,Historical maps,Maryland and Virginia,39° 43′ N,36° 32′ N,83° 41′ W,75° 03' W 
G3880 1721.S45 MAP 0360,g3880_1721.s45.jpg,http://hdl.handle.net/1903.1/12553,"A New Map of Virginia, Maryland and the Improved Parts of Pennsylvania and New Jersey.","Senex, John.",1719,SPECIAL PERMISSION USE ONLY.,1,historical maps,Maryland - Chesapeake Bay,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 007,md007.jpg,,A New Map of the Province of Maryland in North America,Universal Magazine,1780,,1,Historical Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
G3709 .32 .C6P5 1780 .D47,g3709-.32-.c6p5-1780-.d47.jpg,,"A chart of the coast of New York, New Jersey, Pensilvania, Maryland, Virginia, North Carolina, & c.",J.R.W. DesBarres,1780,,1,Historical map,Maryland - Chesapeake Bay,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
G3880 1752 .B68,g3880-1752-.b68.jpg,,A new and accurate map of Virginia & Maryland,Eman. Bowen,1752,,1,Historical map,Maryland - Chesapeake Bay,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
G3880 1590.W4,https://digital.lib.umd.eduhttp://hdl.handle.net/1903.1/12530,http://hdl.handle.net/1903.1/12530,"America pars, Virginia dicta","White, John and de Bry, Theodor",1590,First map to show and name the Chesapeake Bay. OCLC #5483495,1,Historical maps,Virginia - Chesapeake Bay,39° 43′ N,36° 32′ N,83° 41′ W,75° 03' W 
MD 165,md165.jpg,,"Annapolis, Frederick City, and Hagerstown City Maps",Walling and Grey,1873,From atlas.,1,Historical maps,Annapolis,38° 58′ N ,38° 58′ N ,76° 29′ W,76° 29′ W
BC 080,bc-080.jpg,http://hdl.handle.net/1903.1/12549,"Approaches to Baltimore Harbor, Maryland",Harbor Board of Baltimore,1905,,1,Historical maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
MD 096,md096d.jpg,,"Automobile Touring Map of Maryland, with Inset of Baltimore City . . .",,1920,Includes brief descriptions of road conditions,1,Historical Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
BC 070,bc070.jpg,,"Baltimore Community Facilities and Services, the Comprehensive Plan",Baltimore Department of Planning,1975 (circa),,1,Land use maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
BC 020,bc-020.jpg,http://hdl.handle.net/1903.1/12537,Baltimore Showing the District Boundaries,"Charity Organization Society (Baltimore, Md)",No Date,,1,Historical maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
BC 117,bc117.jpg,,"Baltimore's Development Program, 1984-1989",,1984-1989,,1,Regional maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
MD/VA 002,mdva002d-1.jpg,,Captain John Smith's Map of Virginia,"Smith, John",1612,Reproduction from the original at the Library of Congress.,1,Historical maps,Maryland and Virginia,39° 43′ N,36° 32′ N,83° 41′ W,75° 03' W 
